Name of Restaurant,City,Country Code,Day of week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
1 Abercrombie Lane,Sydney,AU,0,17,00,22,00
1 Abercrombie Lane,Sydney,AU,1,17,00,22,00
1 Abercrombie Lane,Sydney,AU,2,17,00,22,00
1 Abercrombie Lane,Sydney,AU,3,17,00,22,00
1 Abercrombie Lane,Sydney,AU,4,17,00,22,30
1 Abercrombie Lane,Sydney,AU,5,10,00,15,00
1 Abercrombie Lane,Sydney,AU,5,17,00,22,30
1 Abercrombie Lane,Sydney,AU,6,10,00,15,00
#1 Chicken Rice & Seafood,Houston,US,0,17,00,22,00
#1 Chicken Rice & Seafood,Houston,US,1,17,00,22,00
#1 Chicken Rice & Seafood,Houston,US,2,17,00,22,00
#1 Chicken Rice & Seafood,Houston,US,3,17,00,22,00
#1 Chicken Rice & Seafood,Houston,US,4,17,00,22,30
#1 Chicken Rice & Seafood,Houston,US,5,10,00,15,00
#1 Chicken Rice & Seafood,Houston,US,5,17,00,22,30
#1 Chicken Rice & Seafood,Houston,US,6,10,00,15,00
#1 Chinese Kitchen,San Jose,US,0,17,00,22,00
#1 Chinese Kitchen,San Jose,US,1,17,00,22,00
#1 Chinese Kitchen,San Jose,US,2,17,00,22,00
#1 Chinese Kitchen,San Jose,US,3,17,00,22,00
#1 Chinese Kitchen,San Jose,US,4,17,00,22,30
#1 Chinese Kitchen,San Jose,US,5,10,00,15,00
#1 Chinese Kitchen,San Jose,US,5,17,00,22,30
#1 Chinese Kitchen,San Jose,US,6,10,00,15,00
10' Custom Pizzeria,Braddon,AU,0,17,00,22,00
10' Custom Pizzeria,Braddon,AU,1,17,00,22,00
10' Custom Pizzeria,Braddon,AU,2,17,00,22,00
10' Custom Pizzeria,Braddon,AU,3,17,00,22,00
10' Custom Pizzeria,Braddon,AU,4,17,00,22,30
10' Custom Pizzeria,Braddon,AU,5,10,00,15,00
10' Custom Pizzeria,Braddon,AU,5,17,00,22,30
10' Custom Pizzeria,Braddon,AU,6,10,00,15,00
10 Greek Street,London,GB,0,17,00,22,00
10 Greek Street,London,GB,1,17,00,22,00
10 Greek Street,London,GB,2,17,00,22,00
10 Greek Street,London,GB,3,17,00,22,00
10 Greek Street,London,GB,4,17,00,22,30
10 Greek Street,London,GB,5,10,00,15,00
10 Greek Street,London,GB,5,17,00,22,30
10 Greek Street,London,GB,6,10,00,15,00
