Job Family,Total Benefits,Total Compensation,Percent_Total_Benefit
Administrative-DPW/PUC,41308.83192090398,156398.4686440678,26.412555237298882
Administrative-Labor & Trades,40396.36547169812,163204.0308490566,24.75206357437319
Agriculture & Horticulture,25483.396273022765,81719.50934994587,31.183981004946702
Airport Operation,31652.25381333329,108701.63960666655,29.118469535386925
Appraisal & Taxation,29159.09323870967,96818.03612903232,30.117418618002606
"Budget, Admn & Stats Analysis",27918.238713313418,95053.8617333052,29.37096736968379
"Clerical, Secretarial & Steno",21549.04431145438,66517.54545431148,32.396030497330436
Community Development,29071.209352000027,97753.80843200012,29.73920895595863
Computer Operatns & Repro Svcs,20184.3407401575,64309.35436220471,31.38632153959246
Construction Inspection,32847.57364548495,118385.610078038,27.74625532937012
Correction & Detention,32226.7920588235,135655.11320017563,23.75641529359011
Dietary & Food,19673.743313708997,61537.99346509685,31.970076055319485
Energy & Environment,32166.17952580198,111963.35270571824,28.7292035728394
Fire Services,38020.44790950241,182902.5862247359,20.787266431971585
Health & Sanitation Inspection,36624.876836158204,129992.48246704323,28.17461143989126
Hospital Administration,26708.011426356603,86008.34917829471,31.05281252520157
Housekeeping & Laundry,24286.767749308685,74189.73939907821,32.73601975964137
Human Services,27410.023036841518,91815.76230460229,29.8532870052396
Information Systems,33942.1418288334,123100.13988283245,27.572789000191037
Journeyman Trade,32771.19723365813,121393.780574355,26.995779420170063
"Lab, Pharmacy & Med Techs",30608.894751574473,109507.3948670396,27.95144089468918
Legal & Court,39277.958402649,148885.20187814557,26.38137162536534
Library,21736.756160392797,68632.31500163667,31.671314248797295
Management,41734.75034680001,146873.9678691464,28.41534885472864
Med Therapy & Auxiliary,25925.10184881336,86394.50196894232,30.007814453439515
Medical & Dental,34798.4875425611,146173.35106587724,23.80631441286323
Museum & Cultural Affairs,21230.899174917493,68676.4887458746,30.9143632160327
Nursing,23878.83717601889,99220.4794021892,24.06644003323776
Park & Zoo,17946.662640692644,54776.31032467531,32.76354784452895
"Payroll, Billing & Accounting",25842.18977697237,84534.00555059928,30.570170677058577
Personnel,22858.582058940687,76606.44583034645,29.8389800116345
Police Services,31417.043731138372,152976.9840493827,20.537104928801966
Port Operation,37943.271272727274,137771.2450909091,27.540776921693784
Probation & Parole,30484.40282522996,115121.3876478319,26.48022530659973
Professional Engineering,34432.673138083635,124532.07401167466,27.649642400443465
Property Administration,32442.430657894736,116238.0561842105,27.910334810211356
Protection & Apprehension,20888.00614455318,73702.06014163712,28.3411428451411
Pub Relations & Spec Assts,23626.85004279601,78542.07677603427,30.081774015434902
Public Safety Inspection,36598.783197781886,135909.7639926063,26.928737216976486
Public Service Aide,5267.903670577323,14956.28023579977,35.22201769105611
Purchasing & Storekeeping,26648.438665207854,87904.81713347918,30.315106195765694
Recreation,5483.940170082879,17721.7028020061,30.94476998825472
Revenue,24789.58395973152,79388.09845637578,31.225819035523998
SF Superior Court,29583.655316827535,97311.94230381864,30.400847641560883
Semi-Skilled & General Labor,22693.172321995447,72889.10668027219,31.133832414134208
Skilled Labor,28778.65979222523,101070.39132037523,28.47387787487829
Street Transit,30333.252143164267,99986.89665161894,30.337227335751226
Sub-Professional Engineering,13191.598021415304,45695.05526070767,28.868764784618865
Supervisory-Labor & Trade,36564.244929920715,140066.63173065215,26.10489341975017
