,CLDATE,SNWD,SNOW,ORIGIN_CITY_NAME,AIRLINE_ID,DEST_CITY_NAME,WEATHER_DELAY,FL_DATE
0,2016-01-01,0.0,0.0,"Boston, MA",20416.0,"Fort Myers, FL",,2016-01-01
1,2016-01-01,0.0,0.0,"Boston, MA",20416.0,"Myrtle Beach, SC",,2016-01-01
2,2016-01-01,0.0,0.0,"Boston, MA",20416.0,"Atlanta, GA",,2016-01-01
3,2016-01-01,0.0,0.0,"Boston, MA",20416.0,"Fort Lauderdale, FL",,2016-01-01
4,2016-01-01,0.0,0.0,"Boston, MA",20416.0,"Las Vegas, NV",0.0,2016-01-01
5,2016-01-01,0.0,0.0,"Boston, MA",20416.0,"West Palm Beach/Palm Beach, FL",0.0,2016-01-01
6,2016-01-01,0.0,0.0,"Boston, MA",19977.0,"Chicago, IL",,2016-01-01
7,2016-01-01,0.0,0.0,"Boston, MA",19977.0,"San Francisco, CA",,2016-01-01
8,2016-01-01,0.0,0.0,"Boston, MA",19977.0,"Newark, NJ",,2016-01-01
9,2016-01-01,0.0,0.0,"Boston, MA",19977.0,"San Francisco, CA",,2016-01-01
10,2016-01-01,0.0,0.0,"Boston, MA",21171.0,"San Francisco, CA",,2016-01-01
11,2016-01-01,0.0,0.0,"Boston, MA",21171.0,"Los Angeles, CA",,2016-01-01
12,2016-01-01,0.0,0.0,"Boston, MA",19977.0,"Denver, CO",,2016-01-01
13,2016-01-01,0.0,0.0,"Boston, MA",19977.0,"Washington, DC",,2016-01-01
14,2016-01-01,0.0,0.0,"Boston, MA",19977.0,"San Francisco, CA",,2016-01-01
15,2016-01-01,0.0,0.0,"Boston, MA",19977.0,"Chicago, IL",,2016-01-01
16,2016-01-01,0.0,0.0,"Boston, MA",19977.0,"Denver, CO",,2016-01-01
17,2016-01-01,0.0,0.0,"Boston, MA",19977.0,"Newark, NJ",,2016-01-01
18,2016-01-01,0.0,0.0,"Boston, MA",19977.0,"Washington, DC",,2016-01-01
19,2016-01-01,0.0,0.0,"Boston, MA",19977.0,"Denver, CO",,2016-01-01
20,2016-01-01,0.0,0.0,"Boston, MA",19977.0,"Chicago, IL",,2016-01-01
21,2016-01-01,0.0,0.0,"Boston, MA",19977.0,"Denver, CO",,2016-01-01
