"AIRLINE_ID","CARRIER_NAME","REGION",
19031,"Mackey International Inc.","Domestic",
19032,"Munz Northern Airlines Inc.","Domestic",
19033,"Cochise Airlines Inc.","Domestic",
19034,"Golden Gate Airlines Inc.","Domestic",
19035,"Aeromech Inc.","Domestic",
19036,"Golden West Airlines Co.","Domestic",
19037,"Puerto Rico Intl Airlines","Domestic",
19038,"Air America Inc.","Domestic",
19039,"Swift Aire Lines Inc.","Domestic",
19040,"American Central Airlines","Domestic",
19041,"Valdez Airlines","Domestic",
19042,"Southeast Alaska Airlines","Domestic",
19043,"Altair Airlines Inc.","Domestic",
19044,"Chitina Air Service","Domestic",
19045,"Marco Island Airways Inc.","Domestic",
19046,"Caribbean Air Services Inc.","Domestic",
19047,"Sundance Airlines","Domestic",
19048,"Seair Alaska Airlines Inc.","Domestic",
19049,"Southeast Airlines Inc.","Domestic",
19050,"Alaska Aeronautical Indust.","Domestic",
19051,"Imperial Airlines Inc.","Domestic",
19052,"Trans Western Airlines Utah","Domestic",
19053,"Wright Airlines Inc.","Domestic",
19054,"Presidential Express","Domestic",
19055,"Mississippi Valley Airlines","Domestic",
19056,"Channel Flying Inc.","Domestic",
19057,"Rocky Mountain Airways Inc.","Domestic",
19058,"Midstate Airlines Inc.","Domestic",
19059,"Sedalia Marshall Boonvl Stg","Domestic",
19060,"Inlet Airlines","Domestic",
19061,"Command Airways Inc.","Domestic",
19062,"Emerald Airlines","Domestic",
19063,"Orion Air Inc.","Domestic",
19064,"Pan Am Express","Domestic",
19065,"Air Micronesia Inc.","Pacific",
19066,"Sunbird Inc.","Domestic",
19067,"Wings West Airlines","Domestic",
19068,"Southcentral Air Inc.","Domestic",
19069,"Air Cargo Express Inc.","Domestic",
19070,"Associated Aviation Act.","Domestic",
19071,"Antilles Air Boats Inc.","Domestic",
19072,"AAA Airlines","Domestic",
19073,"Argosy Air Lines Inc.","Domestic",
19074,"Air Bahia","Domestic",
19075,"Airbama Incorporated","Domestic",
19076,"Aeronaves Boringuena Inc.","Domestic",
19077,"Alaska Central Airways Inc.","Domestic",
19078,"Island Airlines Hawaii Inc.","Domestic",
19079,"AAA-Action Air Carrier Inc.","Domestic",
19080,"Air Cargo Enterprises Inc.","Domestic",
19081,"Air Chaparral Inc.","Domestic",
19082,"Alamo Commuter Airlines","Domestic",
19083,"Air Central Inc.","Domestic",
19084,"Air Central Inc.","Domestic",
19085,"Astec Air East Inc.","Domestic",
19086,"American Flag Airlines Inc.","Domestic",
19087,"Air Cargo America Inc.","Domestic",
19088,"All Island Air","Domestic",
19089,"Air Express Inc.","Domestic",
19090,"Air Mont. Inc.","Domestic",
19091,"Air Indiana","Domestic",
19092,"Air-Lift Associates Inc.","Domestic",
19093,"Brandt Air","Domestic",
19094,"All Seasons Air Pacific","Domestic",
19095,"North American Airlines Inc.","Domestic",
19096,"American Inter-Island Inc.","Domestic",
19097,"Air Nebraska Inc.","Domestic",
19098,"Airways Of New Mexico Inc.","Domestic",
19099,"Metro Air Northeast Vermont","Domestic",
19100,"Air North/Nenana","Domestic",
19101,"Trans New York","Domestic",
