"NET_INCOME","AIRLINE_ID","CARRIER_NAME","QUARTER",
-334212.78,20452,"Republic Airlines",3,
-234058.00,20107,"Federal Express Corporation",3,
-172613.00,20107,"Federal Express Corporation",2,
-163318.00,20107,"Federal Express Corporation",1,
-123385.68,20448,"Shuttle America Corp.",2,
-120366.86,20448,"Shuttle America Corp.",1,
-105525.00,20107,"Federal Express Corporation",2,
-97350.00,20107,"Federal Express Corporation",2,
-96110.08,20448,"Shuttle America Corp.",3,
-91267.00,20107,"Federal Express Corporation",1,
-87728.00,20107,"Federal Express Corporation",3,
-66677.82,19917,"United Parcel Service",2,
-55676.00,20107,"Federal Express Corporation",1,
-52632.13,19977,"United Air Lines Inc.",1,
-50989.00,20107,"Federal Express Corporation",3,
-49165.89,19917,"United Parcel Service",3,
-36846.30,19917,"United Parcel Service",1,
-28483.41,20452,"Republic Airlines",3,
-27389.18,19805,"American Airlines Inc.",3,
-26427.93,20452,"Republic Airlines",1,
-20498.94,19977,"United Air Lines Inc.",2,
-20232.46,20007,"Atlas Air Inc.",3,
-17655.68,19977,"United Air Lines Inc.",2,
-15760.11,20363,"Endeavor Air Inc.",1,
-12584.00,21492,"Dynamic Airways, LLC",3,
-11215.27,20405,"National Air Cargo Group Inc d/ba National Airline",2,
-11199.68,20007,"Atlas Air Inc.",1,
-10650.15,20308,"Centurion Cargo Inc.",3,
-9230.95,20363,"Endeavor Air Inc.",3,
-9223.67,20007,"Atlas Air Inc.",2,
-8810.55,20500,"GoJet Airlines LLC d/b/a United Express",1,
-8647.24,20500,"GoJet Airlines LLC d/b/a United Express",3,
-8394.90,20500,"GoJet Airlines LLC d/b/a United Express",2,
-8356.89,20363,"Endeavor Air Inc.",2,
-8038.23,20366,"ExpressJet Airlines Inc.",2,
-7097.57,19917,"United Parcel Service",2,
-7090.51,20308,"Centurion Cargo Inc.",1,
-6473.57,20151,"Amerijet International",2,
-6326.74,19874,"Air Transport International",3,
-6101.48,20422,"Sun Country Airlines d/b/a MN Airlines",3,
-6050.95,19874,"Air Transport International",2,
-5932.40,20405,"National Air Cargo Group Inc d/ba National Airline",1,
-5319.42,20405,"National Air Cargo Group Inc d/ba National Airline",3,
-5298.50,20366,"ExpressJet Airlines Inc.",1,
-5227.28,19874,"Air Transport International",1,
-5225.69,20453,"ABX Air Inc",1,
-5057.19,20287,"Island Air Hawaii",2,
-4802.73,21352,"Avjet Corporation",1,
-4767.14,20308,"Centurion Cargo Inc.",2,
-4276.73,20287,"Island Air Hawaii",1,
-3867.04,20397,"PSA Airlines Inc.",3,
-3637.83,19917,"United Parcel Service",3,
-3595.53,19690,"Hawaiian Airlines Inc.",3,
-3349.19,20169,"Lynden Air Cargo Airlines",2,
-3195.67,21492,"Dynamic Airways, LLC",2,
-3195.04,19917,"United Parcel Service",1,
-2992.64,20370,"Kalitta Air LLC",1,
-2892.35,20100,"Polar Air Cargo Airways",1,
-2702.85,21650,"Eastern Airlines Group Inc.",2,
-2699.98,20398,"Envoy Air",1,
-2624.71,20453,"ABX Air Inc",3,
-2440.15,20169,"Lynden Air Cargo Airlines",1,
-2133.63,20287,"Island Air Hawaii",3,
-2092.48,20100,"Polar Air Cargo Airways",2,
-2090.15,21167,"Compass Airlines",3,
-1957.99,20453,"ABX Air Inc",2,
-1919.74,20453,"ABX Air Inc",1,
-1905.02,20046,"Air Wisconsin Airlines Corp",1,
-1892.44,21650,"Eastern Airlines Group Inc.",3,
-1837.64,21650,"Eastern Airlines Group Inc.",2,
-1833.40,20397,"PSA Airlines Inc.",2,
-1704.44,19917,"United Parcel Service",3,
-1691.00,19687,"Horizon Air",1,
-1641.43,20151,"Amerijet International",3,
-1502.13,19977,"United Air Lines Inc.",1,
-1448.07,20100,"Polar Air Cargo Airways",3,
-1275.80,20169,"Lynden Air Cargo Airlines",3,
-1213.46,20366,"ExpressJet Airlines Inc.",3,
-1149.44,20436,"Frontier Airlines Inc.",1,
-1133.00,20151,"Amerijet International",2,
-1013.86,20007,"Atlas Air Inc.",3,
-925.22,20149,"Florida West Airlines Inc.",1,
-867.65,20370,"Kalitta Air LLC",3,
-823.63,20453,"ABX Air Inc",2,
-789.81,20422,"Sun Country Airlines d/b/a MN Airlines",2,
-772.60,20100,"Polar Air Cargo Airways",3,
-692.74,21650,"Eastern Airlines Group Inc.",1,
-639.71,21650,"Eastern Airlines Group Inc.",3,
-635.73,21634,"Aloha Air Cargo",1,
-617.39,21629,"Western Global",2,
-607.66,20149,"Florida West Airlines Inc.",3,
-605.11,20166,"Gulf And Caribbean Cargo",3,
-588.63,20166,"Gulf And Caribbean Cargo",2,
-584.95,20453,"ABX Air Inc",3,
-577.62,21650,"Eastern Airlines Group Inc.",1,
-573.87,20177,"Asia Pacific",1,
-436.23,20402,"Miami Air International",3,
-429.62,20166,"Gulf And Caribbean Cargo",1,
-418.80,20377,"Omni Air Express",3,
-332.99,20151,"Amerijet International",3,
-330.39,20377,"Omni Air Express",2,
-310.00,20304,"SkyWest Airlines Inc.",2,
-297.43,20149,"Florida West Airlines Inc.",2,
-294.59,20177,"Asia Pacific",2,
-214.86,20402,"Miami Air International",3,
-211.30,20366,"ExpressJet Airlines Inc.",3,
-209.32,20310,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",2,
-174.56,21634,"Aloha Air Cargo",2,
-167.00,20304,"SkyWest Airlines Inc.",1,
-164.46,20310,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",2,
-156.41,20100,"Polar Air Cargo Airways",2,
-89.45,20402,"Miami Air International",2,
-86.04,20378,"Mesa Airlines Inc.",2,
-80.35,20372,"Kalitta Charters II",2,
-78.49,20370,"Kalitta Air LLC",1,
-76.20,20402,"Miami Air International",2,
-67.48,20149,"Florida West Airlines Inc.",1,
-49.16,20149,"Florida West Airlines Inc.",2,
-32.34,21167,"Compass Airlines",3,
-24.00,20304,"SkyWest Airlines Inc.",3,
-10.96,20372,"Kalitta Charters II",2,
-1.67,20149,"Florida West Airlines Inc.",3,
1.81,20108,"Northern Air Cargo Inc.",1,
4.15,20372,"Kalitta Charters II",1,
8.93,20166,"Gulf And Caribbean Cargo",1,
