STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TAVG,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,AWND,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WDF2,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WDF5,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WSF2,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WSF5,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT09,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT01,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT06,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT05,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT02,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT04,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT08,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT03,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170101,0.07, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,40,H, ,S,9999,44, , ,W,2400,33, , ,W,2400,14.1, , ,W,9999,270, , ,W,9999,270, , ,W,9999,28.0, , ,W,9999,35.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170102,0.00,T, ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,35,H, ,S,9999,41, , ,W,2400,28, , ,W,2400,4.5, , ,W,9999,100, , ,W,9999,120, , ,W,9999,14.1, , ,W,9999,18.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170103,0.89, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,41,H, ,S,9999,44, , ,W,2400,40, , ,W,2400,18.1, , ,W,9999,60, , ,W,9999,60, , ,W,9999,25.9, , ,W,9999,32.0, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170104,0.06, , ,W,2400,-9999, , , ,9999,0.0,T, ,W,9999,43,H, ,S,9999,48, , ,W,2400,33, , ,W,2400,12.5, , ,W,9999,270, , ,W,9999,250, , ,W,9999,19.9, , ,W,9999,36.9, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170105,0.00, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,32,H, ,S,9999,34, , ,W,2400,27, , ,W,2400,14.8, , ,W,9999,240, , ,W,9999,280, , ,W,9999,28.0, , ,W,9999,36.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170106,0.06, , ,W,2400,-9999, , , ,9999,1.1, , ,W,9999,29,H, ,S,9999,31, , ,W,2400,24, , ,W,2400,8.1, , ,W,9999,320, , ,W,9999,330, , ,W,9999,14.1, , ,W,9999,18.1, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170107,0.53, , ,W,2400,-9999, , , ,9999,7.0, , ,W,9999,23,H, ,S,9999,24, , ,W,2400,17, , ,W,2400,14.3, , ,W,9999,350, , ,W,9999,340, , ,W,9999,28.0, , ,W,9999,36.9, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170108,0.01, , ,W,2400,-9999, , , ,9999,0.2, , ,W,9999,18,H, ,S,9999,22, , ,W,2400,13, , ,W,2400,13.4, , ,W,9999,320, , ,W,9999,320, , ,W,9999,19.9, , ,W,9999,27.1, , ,W,9999,1, , ,W,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170109,0.00, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,15,H, ,S,9999,20, , ,W,2400,11, , ,W,2400,11.2, , ,W,9999,290, , ,W,9999,280, , ,W,9999,19.9, , ,W,9999,23.9, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170110,0.14, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,23,H, ,S,9999,39, , ,W,2400,16, , ,W,2400,9.4, , ,W,9999,150, , ,W,9999,160, , ,W,9999,25.9, , ,W,9999,31.1, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170111,0.09, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,45,H, ,S,9999,55, , ,W,2400,39, , ,W,2400,15.0, , ,W,9999,210, , ,W,9999,220, , ,W,9999,32.0, , ,W,9999,46.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170112,0.15, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,50,H, ,S,9999,61, , ,W,2400,41, , ,W,2400,14.5, , ,W,9999,220, , ,W,9999,210, , ,W,9999,25.9, , ,W,9999,35.1, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170113,0.00, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,49,H, ,S,9999,58, , ,W,2400,25, , ,W,2400,16.3, , ,W,9999,300, , ,W,9999,280, , ,W,9999,28.0, , ,W,9999,36.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170114,0.00, , ,W,2400,0.0, , ,H,9999,0.0, , ,W,9999,26,H, ,S,9999,31, , ,W,2400,18, , ,W,2400,9.6, , ,W,9999,330, , ,W,9999,330, , ,W,9999,18.1, , ,W,9999,21.9, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170115,0.00, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,31,H, ,S,9999,37, , ,W,2400,27, , ,W,2400,9.2, , ,W,9999,310, , ,W,9999,320, , ,W,9999,17.0, , ,W,9999,23.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170116,0.00, , ,W,2400,0.0, , ,H,9999,0.0, , ,W,9999,31,H, ,S,9999,42, , ,W,2400,23, , ,W,2400,9.6, , ,W,9999,230, , ,W,9999,250, , ,W,9999,19.9, , ,W,9999,28.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170117,0.30, , ,W,2400,0.0, , ,H,9999,0.0,T, ,W,9999,37,H, ,S,9999,42, , ,W,2400,32, , ,W,2400,11.4, , ,W,9999,110, , ,W,9999,140, , ,W,9999,21.9, , ,W,9999,31.1, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170118,0.36, , ,W,2400,0.0, , ,H,9999,0.0, , ,W,9999,38,H, ,S,9999,40, , ,W,2400,32, , ,W,2400,13.9, , ,W,9999,90, , ,W,9999,90, , ,W,9999,23.0, , ,W,9999,27.1, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170119,0.00, , ,W,2400,0.0, , ,H,9999,0.0, , ,W,9999,37,H, ,S,9999,46, , ,W,2400,31, , ,W,2400,8.1, , ,W,9999,320, , ,W,9999,340, , ,W,9999,16.1, , ,W,9999,21.9, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170120,0.00, , ,W,2400,0.0, , ,H,9999,0.0, , ,W,9999,38,H, ,S,9999,40, , ,W,2400,34, , ,W,2400,5.4, , ,W,9999,160, , ,W,9999,110, , ,W,9999,8.9, , ,W,9999,13.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170121,0.00, , ,W,2400,0.0, , ,H,9999,0.0, , ,W,9999,43,H, ,S,9999,55, , ,W,2400,37, , ,W,2400,7.2, , ,W,9999,280, , ,W,9999,270, , ,W,9999,16.1, , ,W,9999,21.0, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170122,0.06, , ,W,2400,0.0, , ,H,9999,0.0, , ,W,9999,44,H, ,S,9999,48, , ,W,2400,39, , ,W,2400,11.0, , ,W,9999,60, , ,W,9999,60, , ,W,9999,23.0, , ,W,9999,28.0, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170123,0.31, , ,W,2400,0.0, , ,H,9999,0.0,T, ,W,9999,38,H, ,S,9999,40, , ,W,2400,35, , ,W,2400,25.3, , ,W,9999,50, , ,W,9999,40, , ,W,9999,38.0, , ,W,9999,46.1, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170124,1.09, , ,W,2400,-9999, , , ,9999,0.0,T, ,W,9999,39,H, ,S,9999,42, , ,W,2400,35, , ,W,2400,24.4, , ,W,9999,40, , ,W,9999,40, , ,W,9999,40.0, , ,W,9999,52.1, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170125,0.02, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,38,H, ,S,9999,44, , ,W,2400,36, , ,W,2400,15.7, , ,W,9999,290, , ,W,9999,300, , ,W,9999,29.1, , ,W,9999,38.9, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170126,0.05, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,42,H, ,S,9999,51, , ,W,2400,37, , ,W,2400,13.4, , ,W,9999,270, , ,W,9999,290, , ,W,9999,30.0, , ,W,9999,38.0, , ,W,9999,-9999, , , ,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170127,0.00,T, ,W,2400,-9999, , , ,9999,0.0,T, ,W,9999,41,H, ,S,9999,44, , ,W,2400,36, , ,W,2400,17.7, , ,W,9999,250, , ,W,9999,250, , ,W,9999,35.1, , ,W,9999,49.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00014739,BOSTON MA US,3.7,42.3606,-71.0097,20170128,0.00, , ,W,2400,-9999, , , ,9999,0.0, , ,W,9999,37,H, ,S,9999,40, , ,W,2400,32, , ,W,2400,15.2, , ,W,9999,260, , ,W,9999,270, , ,W,9999,23.9, , ,W,9999,33.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
