DEST_CITY_NAME,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
"Chicago, IL",7431,723,9704,42,8136
"Los Angeles, CA",7067,767,12987,55,6830
"Atlanta, GA",6902,589,5603,24,6841
"New York, NY",6105,583,8101,40,5338
"Denver, CO",5467,447,5612,22,5643
"San Francisco, CA",4665,697,9740,26,5636
"Dallas/Fort Worth, TX",4657,405,4992,39,4469
"Las Vegas, NV",4644,324,4851,24,4961
"Phoenix, AZ",4503,305,6484,32,4827
"Houston, TX",4283,312,3843,17,4330
"Boston, MA",4109,345,4964,16,3682
"Orlando, FL",3906,243,3062,30,3128
"Newark, NJ",3434,328,6777,7,3712
"Washington, DC",3063,323,2711,8,2528
"Seattle, WA",3025,327,4711,43,3035
"Minneapolis, MN",2892,325,3294,17,2871
"Fort Lauderdale, FL",2855,168,2574,23,2215
"San Diego, CA",2520,170,2228,11,2474
"Detroit, MI",2447,243,2262,9,2736
"Salt Lake City, UT",2426,256,2270,19,2571
