ORIGIN_CITY_NAME,weekday_name,HOUR,FL_NUM
"Aberdeen, SD",FRIDAY,0,2
"Aberdeen, SD",FRIDAY,4,5
"Aberdeen, SD",FRIDAY,5,11
"Aberdeen, SD",FRIDAY,6,1
"Aberdeen, SD",FRIDAY,8,1
"Aberdeen, SD",FRIDAY,13,17
"Aberdeen, SD",FRIDAY,15,4
"Aberdeen, SD",FRIDAY,19,1
"Aberdeen, SD",MONDAY,0,1
"Aberdeen, SD",MONDAY,4,6
"Aberdeen, SD",MONDAY,5,8
"Aberdeen, SD",MONDAY,7,1
"Aberdeen, SD",MONDAY,10,1
"Aberdeen, SD",MONDAY,13,15
"Aberdeen, SD",MONDAY,15,3
"Aberdeen, SD",MONDAY,17,2
"Aberdeen, SD",SATURDAY,4,4
"Aberdeen, SD",SATURDAY,5,10
"Aberdeen, SD",SATURDAY,6,1
"Aberdeen, SD",SATURDAY,7,2
"Aberdeen, SD",SATURDAY,9,1
"Aberdeen, SD",SATURDAY,13,18
"Aberdeen, SD",SUNDAY,4,4
"Aberdeen, SD",SUNDAY,5,11
"Aberdeen, SD",SUNDAY,7,1
"Aberdeen, SD",SUNDAY,11,1
"Aberdeen, SD",SUNDAY,13,16
"Aberdeen, SD",THURSDAY,0,1
"Aberdeen, SD",THURSDAY,4,3
"Aberdeen, SD",THURSDAY,5,14
"Aberdeen, SD",THURSDAY,13,15
"Aberdeen, SD",THURSDAY,14,2
"Aberdeen, SD",TUESDAY,4,6
"Aberdeen, SD",TUESDAY,5,10
"Aberdeen, SD",TUESDAY,7,1
"Aberdeen, SD",TUESDAY,13,16
"Aberdeen, SD",TUESDAY,15,1
"Aberdeen, SD",WEDNESDAY,4,2
"Aberdeen, SD",WEDNESDAY,5,15
"Aberdeen, SD",WEDNESDAY,13,15
"Aberdeen, SD",WEDNESDAY,14,1
"Aberdeen, SD",WEDNESDAY,15,4
"Aberdeen, SD",WEDNESDAY,19,1
"Abilene, TX",FRIDAY,12,15
"Abilene, TX",FRIDAY,13,2
"Abilene, TX",MONDAY,0,2
"Abilene, TX",MONDAY,12,13
"Abilene, TX",MONDAY,13,1
"Abilene, TX",MONDAY,15,1
"Abilene, TX",SATURDAY,12,2
"Abilene, TX",SATURDAY,18,1
"Abilene, TX",SUNDAY,12,14
"Abilene, TX",SUNDAY,13,2
"Abilene, TX",SUNDAY,17,1
"Abilene, TX",THURSDAY,12,12
"Abilene, TX",THURSDAY,13,4
"Abilene, TX",THURSDAY,14,1
"Abilene, TX",TUESDAY,12,13
"Abilene, TX",TUESDAY,13,2
"Abilene, TX",WEDNESDAY,12,17
"Abilene, TX",WEDNESDAY,15,3
"Abilene, TX",WEDNESDAY,16,1
"Adak Island, AK",SUNDAY,16,2
"Adak Island, AK",SUNDAY,17,10
"Adak Island, AK",SUNDAY,18,5
"Adak Island, AK",THURSDAY,16,1
"Adak Island, AK",THURSDAY,17,14
"Adak Island, AK",THURSDAY,18,3
"Aguadilla, PR",FRIDAY,0,3
"Aguadilla, PR",FRIDAY,1,9
"Aguadilla, PR",FRIDAY,2,7
"Aguadilla, PR",FRIDAY,3,19
"Aguadilla, PR",FRIDAY,4,20
"Aguadilla, PR",FRIDAY,5,9
"Aguadilla, PR",FRIDAY,6,4
"Aguadilla, PR",FRIDAY,7,1
"Aguadilla, PR",FRIDAY,9,1
"Aguadilla, PR",FRIDAY,10,3
"Aguadilla, PR",FRIDAY,12,6
"Aguadilla, PR",FRIDAY,13,2
"Aguadilla, PR",MONDAY,0,1
"Aguadilla, PR",MONDAY,1,5
"Aguadilla, PR",MONDAY,2,15
"Aguadilla, PR",MONDAY,3,22
