,AIRLINE_ID
0,19031
1,19032
2,19033
3,19034
4,19035
5,19036
6,19037
7,19038
8,19039
9,19040
10,19041
11,19042
12,19043
13,19044
14,19045
15,19046
16,19047
17,19048
18,19049
19,19050
20,19051
21,19052
22,19053
23,19054
24,19055
25,19056
26,19057
27,19058
28,19059
29,19060
30,19061
31,19062
32,19063
33,19064
34,19065
35,19066
36,19067
37,19068
38,19069
39,19070
40,19071
41,19072
42,19073
43,19074
44,19075
45,19076
46,19077
47,19078
48,19079
49,19080
50,19081
51,19082
52,19083
53,19084
54,19085
55,19086
56,19087
57,19088
58,19089
59,19090
60,19091
61,19092
62,19093
63,19094
64,19095
65,19096
66,19097
67,19098
68,19099
69,19100
70,19101
71,19102
72,19103
73,19104
74,19105
75,19106
76,19107
77,19108
78,19109
79,19110
80,19111
81,19112
82,19113
83,19114
84,19115
85,19116
86,19117
87,19118
88,19119
89,19120
90,19121
91,19122
92,19123
93,19124
94,19125
95,19126
96,19127
97,19128
98,19129
99,19130
100,19131
101,19132
102,19133
103,19134
104,19135
105,19136
106,19137
107,19138
108,19139
109,19140
110,19141
111,19142
112,19143
113,19144
114,19145
115,19146
116,19147
117,19148
118,19149
119,19150
120,19151
121,19152
122,19153
123,19154
124,19155
125,19156
126,19157
127,19158
128,19159
129,19160
130,19161
131,19162
132,19163
133,19164
134,19165
135,19166
136,19167
137,19168
138,19169
139,19170
140,19171
141,19172
142,19173
143,19174
144,19175
145,19176
146,19177
147,19178
148,19179
149,19180
150,19181
151,19182
152,19183
153,19184
154,19185
155,19186
156,19187
157,19188
158,19189
159,19190
160,19191
161,19192
162,19193
163,19194
164,19195
165,19196
166,19197
167,19198
168,19199
169,19200
170,19201
171,19202
172,19203
173,19204
174,19205
175,19206
176,19207
177,19208
178,19209
179,19210
180,19211
181,19212
182,19213
183,19214
184,19215
185,19216
186,19217
187,19218
188,19219
189,19220
190,19221
191,19222
192,19223
193,19224
194,19225
195,19226
196,19227
197,19228
198,19229
199,19230
200,19231
201,19232
202,19233
203,19234
204,19235
205,19236
206,19237
207,19238
208,19239
209,19240
210,19241
211,19242
212,19243
213,19244
214,19245
215,19246
216,19247
217,19248
218,19249
219,19250
220,19251
221,19252
222,19253
223,19254
224,19255
225,19256
226,19257
227,19258
228,19259
229,19260
230,19261
231,19262
232,19263
233,19264
234,19265
235,19266
236,19267
237,19268
238,19269
239,19270
240,19271
241,19272
242,19273
243,19274
244,19275
245,19276
246,19277
247,19278
248,19279
249,19280
250,19281
251,19282
252,19283
253,19284
254,19285
255,19286
256,19287
257,19288
258,19289
259,19290
260,19291
261,19292
262,19293
263,19294
264,19295
265,19296
266,19297
267,19298
268,19299
269,19300
270,19301
271,19302
272,19303
273,19304
274,19305
275,19306
276,19307
277,19308
278,19309
279,19310
280,19311
281,19312
282,19313
283,19314
284,19315
285,19316
286,19317
287,19318
288,19319
289,19320
290,19321
291,19322
292,19323
293,19324
294,19325
295,19326
296,19327
297,19328
298,19329
299,19330
300,19331
301,19332
302,19333
303,19334
304,19335
305,19336
306,19337
307,19338
308,19339
309,19340
310,19341
311,19342
312,19343
313,19344
314,19345
315,19346
316,19347
317,19348
318,19349
319,19350
320,19351
321,19352
322,19353
323,19354
324,19355
325,19356
326,19357
327,19358
328,19359
329,19360
330,19361
331,19362
332,19363
333,19364
334,19365
335,19366
336,19367
337,19368
338,19369
339,19370
340,19371
341,19372
342,19373
343,19374
344,19375
345,19376
346,19377
347,19378
348,19379
349,19380
350,19381
351,19382
352,19383
353,19384
354,19385
355,19386
356,19387
357,19388
358,19389
359,19390
360,19391
361,19392
362,19393
363,19394
364,19395
365,19396
366,19397
367,19398
368,19399
369,19400
370,19401
371,19402
372,19403
373,19404
374,19405
375,19406
376,19407
377,19408
378,19409
379,19410
380,19411
381,19412
382,19413
383,19414
384,19415
385,19416
386,19417
387,19418
388,19419
389,19420
390,19421
391,19422
392,19423
393,19424
394,19425
395,19426
396,19427
397,19428
398,19429
399,19430
400,19431
401,19432
402,19433
403,19434
404,19435
405,19436
406,19437
407,19438
408,19439
409,19440
410,19441
411,19442
412,19443
413,19444
414,19445
415,19446
416,19447
417,19448
418,19449
419,19450
420,19451
421,19452
422,19453
423,19454
424,19455
425,19456
426,19457
427,19458
428,19459
429,19460
430,19461
431,19462
432,19463
433,19464
434,19465
435,19466
436,19467
437,19468
438,19469
439,19470
440,19471
441,19472
442,19473
443,19474
444,19475
445,19476
446,19477
447,19478
448,19479
449,19480
450,19481
451,19482
452,19483
453,19484
454,19485
455,19486
456,19487
457,19488
458,19489
459,19490
460,19491
461,19492
462,19493
463,19494
464,19495
465,19496
466,19497
467,19498
468,19499
469,19500
470,19501
471,19502
472,19503
473,19504
474,19505
475,19506
476,19507
477,19508
478,19509
479,19510
480,19511
481,19512
482,19513
483,19514
484,19515
485,19516
486,19517
487,19518
488,19519
489,19520
490,19521
491,19522
492,19523
493,19524
494,19525
495,19526
496,19527
497,19528
498,19529
499,19530
500,19531
501,19532
502,19533
503,19534
504,19535
505,19536
506,19537
507,19538
508,19539
509,19540
510,19541
511,19542
512,19543
513,19544
514,19545
515,19546
516,19547
517,19548
518,19549
519,19550
520,19551
521,19552
522,19553
523,19554
524,19555
525,19556
526,19557
527,19558
528,19559
529,19560
530,19561
531,19562
532,19563
533,19564
534,19565
535,19566
536,19567
537,19568
538,19569
539,19570
540,19571
541,19572
542,19573
543,19574
544,19575
545,19576
546,19577
547,19578
548,19579
549,19580
550,19581
551,19582
552,19583
553,19584
554,19585
555,19586
556,19587
557,19588
558,19589
559,19590
560,19591
561,19592
562,19593
563,19594
564,19595
565,19596
566,19597
567,19598
568,19599
569,19600
570,19601
571,19602
572,19603
573,19604
574,19605
575,19606
576,19607
577,19608
578,19609
579,19610
580,19611
581,19612
582,19613
583,19614
584,19615
585,19616
586,19617
587,19618
588,19619
589,19620
590,19621
591,19622
592,19623
593,19624
594,19625
595,19626
596,19627
597,19628
598,19629
599,19630
600,19631
601,19632
602,19633
603,19634
604,19635
605,19636
606,19637
607,19638
608,19639
609,19640
610,19641
611,19642
612,19643
613,19644
614,19645
615,19646
616,19647
617,19648
618,19649
619,19650
620,19651
621,19652
622,19653
623,19654
624,19655
625,19656
626,19657
627,19658
628,19659
629,19660
630,19661
631,19662
632,19663
633,19664
634,19665
635,19666
636,19667
637,19668
638,19669
639,19670
640,19671
641,19672
642,19673
643,19674
644,19675
645,19676
646,19677
647,19678
648,19679
649,19680
650,19681
651,19682
652,19683
653,19684
654,19685
655,19686
656,19687
657,19688
658,19689
659,19690
660,19691
661,19692
662,19693
663,19694
664,19695
665,19696
666,19697
667,19698
668,19699
669,19700
670,19701
671,19702
672,19703
673,19704
674,19705
675,19706
676,19707
677,19708
678,19709
679,19710
680,19711
681,19712
682,19713
683,19714
684,19715
685,19716
686,19717
687,19718
688,19719
689,19720
690,19721
691,19722
692,19723
693,19724
694,19725
695,19726
696,19727
697,19728
698,19729
699,19730
700,19731
701,19732
702,19733
703,19734
704,19735
705,19736
706,19737
707,19738
708,19739
709,19740
710,19741
711,19742
712,19743
713,19744
714,19745
715,19746
716,19747
717,19748
718,19749
719,19750
720,19751
721,19752
722,19753
723,19754
724,19755
725,19756
726,19757
727,19758
728,19759
729,19760
730,19761
731,19762
732,19763
733,19764
734,19765
735,19766
736,19767
737,19768
738,19769
739,19770
740,19771
741,19772
742,19773
743,19774
744,19775
745,19776
746,19777
747,19778
748,19779
749,19780
750,19781
751,19782
752,19783
753,19784
754,19786
755,19787
756,19788
757,19789
758,19790
759,19791
760,19792
761,19793
762,19794
763,19795
764,19796
765,19797
766,19798
767,19799
768,19800
769,19801
770,19802
771,19803
772,19804
773,19805
774,19806
775,19807
776,19808
777,19809
778,19810
779,19811
780,19812
781,19813
782,19814
783,19815
784,19816
785,19817
786,19818
787,19819
788,19820
789,19821
790,19822
791,19823
792,19824
793,19825
794,19826
795,19827
796,19828
797,19829
798,19830
799,19831
800,19832
801,19833
802,19834
803,19835
804,19836
805,19837
806,19838
807,19839
808,19840
809,19841
810,19842
811,19843
812,19844
813,19845
814,19846
815,19847
816,19848
817,19849
818,19850
819,19851
820,19852
821,19853
822,19854
823,19855
824,19856
825,19857
826,19858
827,19859
828,19860
829,19861
830,19862
831,19863
832,19864
833,19865
834,19866
835,19867
836,19868
837,19869
838,19870
839,19871
840,19872
841,19873
842,19874
843,19875
844,19876
845,19877
846,19878
847,19879
848,19880
849,19881
850,19882
851,19883
852,19884
853,19885
854,19886
855,19887
856,19888
857,19889
858,19890
859,19891
860,19892
861,19893
862,19894
863,19895
864,19896
865,19897
866,19898
867,19899
868,19900
869,19901
870,19902
871,19903
872,19904
873,19905
874,19906
875,19907
876,19908
877,19909
878,19910
879,19911
880,19912
881,19913
882,19914
