,AIRLINE_ID,CARRIER_NAME
0,19031,Mackey International Inc.
1,19032,Munz Northern Airlines Inc.
2,19033,Cochise Airlines Inc.
3,19034,Golden Gate Airlines Inc.
4,19035,Aeromech Inc.
5,19036,Golden West Airlines Co.
6,19037,Puerto Rico Intl Airlines
7,19038,Air America Inc.
8,19039,Swift Aire Lines Inc.
9,19040,American Central Airlines
10,19041,Valdez Airlines
11,19042,Southeast Alaska Airlines
12,19043,Altair Airlines Inc.
13,19044,Chitina Air Service
14,19045,Marco Island Airways Inc.
15,19046,Caribbean Air Services Inc.
16,19047,Sundance Airlines
17,19048,Seair Alaska Airlines Inc.
18,19049,Southeast Airlines Inc.
19,19050,Alaska Aeronautical Indust.
20,19051,Imperial Airlines Inc.
21,19052,Trans Western Airlines Utah
22,19053,Wright Airlines Inc.
23,19054,Presidential Express
24,19055,Mississippi Valley Airlines
25,19056,Channel Flying Inc.
26,19057,Rocky Mountain Airways Inc.
27,19058,Midstate Airlines Inc.
28,19059,Sedalia Marshall Boonvl Stg
29,19060,Inlet Airlines
30,19061,Command Airways Inc.
31,19062,Emerald Airlines
32,19063,Orion Air Inc.
33,19064,Pan Am Express
34,19065,Air Micronesia Inc.
35,19066,Sunbird Inc.
36,19067,Wings West Airlines
37,19068,Southcentral Air Inc.
38,19069,Air Cargo Express Inc.
39,19070,Associated Aviation Act.
40,19071,Antilles Air Boats Inc.
41,19072,AAA Airlines
42,19073,Argosy Air Lines Inc.
43,19074,Air Bahia
44,19075,Airbama Incorporated
45,19076,Aeronaves Boringuena Inc.
46,19077,Alaska Central Airways Inc.
47,19078,Island Airlines Hawaii Inc.
48,19079,AAA-Action Air Carrier Inc.
49,19080,Air Cargo Enterprises Inc.
50,19081,Air Chaparral Inc.
51,19082,Alamo Commuter Airlines
52,19083,Air Central Inc.
53,19084,Air Central Inc.
54,19085,Astec Air East Inc.
55,19086,American Flag Airlines Inc.
56,19087,Air Cargo America Inc.
57,19088,All Island Air
58,19089,Air Express Inc.
59,19090,Air Mont. Inc.
60,19091,Air Indiana
61,19092,Air-Lift Associates Inc.
62,19093,Brandt Air
63,19094,All Seasons Air Pacific
64,19095,North American Airlines Inc.
65,19096,American Inter-Island Inc.
66,19097,Air Nebraska Inc.
67,19098,Airways Of New Mexico Inc.
68,19099,Metro Air Northeast Vermont
69,19100,Air North/Nenana
70,19101,Trans New York
71,19102,Arizona Pacific Inc.
72,19103,Appalachian Flying Service
73,19104,Air Polynesia Inc.
74,19105,Arizona Aero Corp.
75,19106,Arnold Aviation
76,19107,Air Oregon
77,19108,Arrowhead Airways Inc.
78,19109,Amistad Airlines
79,19110,Alpine Air Services Inc.
80,19111,Asap Air Inc.
81,19112,Astro Airways
82,19113,Air Atlantic Airlines Inc.
83,19114,Pacific National Airways
84,19115,Atlantis Airlines Inc.
85,19116,Aerotransit Inc.
86,19117,Air Carolina
87,19118,Air Vectors Airways
88,19119,Aero Virgin Islands Corp.
89,19120,Aviation Services
90,19121,Southern Jersey Airways
91,19122,Business Aircraft Corp.
92,19123,Brennan & Hargreaves Inc.
93,19124,Bankair Inc.
94,19125,Bard-Air Corp.
95,19126,Baja Cortez Airlines
96,19127,Bennington Aviation Inc.
97,19128,Beyer Aviation
98,19129,Blackhawk Airways Inc.
99,19130,Bighorn Airways Inc.
100,19131,Birchwood Air Service
101,19132,Bremerton Aviation Inc.
102,19133,Boise Air Service
103,19134,Brower Airways Inc.
104,19135,Burlington Airways Inc.
105,19136,Coleman Air Transport
106,19137,Crawford Aviation Inc.
107,19138,C & M Airlines
108,19139,Metro Air Northeast N Y
109,19140,Catalina Airlines Inc.
110,19141,Air Virginia
111,19142,Carriba Air Inc.
112,19143,Cen-Tex Airlines Inc.
113,19144,Century Airlines (Cal)
114,19145,Chandler Flyer
115,19146,Charter Airlines
116,19147,Hammonds Commuter Air Serv.
117,19148,Choi Aviation Inc.
118,19149,Christman Air System
119,19150,Cal Sierra Airlines
120,19151,Centennial Airlines
121,19152,Cotton Belt Aviation Inc.
122,19153,Coker Aviation Inc.
123,19154,Commutair
124,19155,Coral Air Inc.
125,19156,Cosmopolitan Comm. Airline
126,19157,Southeastern Commuter
127,19158,Courtesy Air Service Inc.
128,19159,Capitol Air Lines
129,19160,Coastal Plains Commuter Inc.
130,19161,Commuter Airlines
131,19162,Crown Aviaiton Inc.
132,19163,Crown Airways Inc.
133,19164,Crested Butte Air Service
134,19165,Catskill Airways Inc.
135,19166,Century Airlines
136,19167,Cothron Aviation
137,19168,Catalina-Vegas Airlines
138,19169,Danbury Airlines
139,19170,Downeast Airlines Inc.
140,19171,Decatur Aviation
141,19172,DHL Airlines Inc.
142,19173,Dickman Aviation Services
143,19174,Desert Pacific Airways
144,19175,Desert Pacific Airlines Inc.
145,19176,Desert Airlines
146,19177,Executive Aviation Inc.
147,19178,Eastern Caribbean Airways
148,19179,Eastern Carolina Aviation
149,19180,Ede Aire
150,19181,Executive Four Winds
151,19182,Eagle Commuter Airlines Inc.
152,19183,East Hampton Aire Inc.
153,19184,East. Indiana Aviation Sale
154,19185,Air Pacific Inc.
155,19186,Erie Airways Inc.
156,19187,Empire Aero Service
157,19188,Evanston Aviation
158,19189,Federal Armored Service Inc.
159,19190,Young Flying Service
160,19191,Southern Airlines Inc.
161,19192,Florida Airlines Inc.
162,19193,Freedom Airlines Inc.
163,19194,Flamenco Airways Inc.
164,19195,Ford-Aire Inc.
165,19196,Foster Aviation
166,19197,Skycraft Inc.
167,19198,Far West Airlines
168,19199,General Aviation Inc.
169,19200,Gromer Aviation Inc.
170,19201,Central States Airline
171,19202,Golden Carriage Aire
172,19203,Midway Commuter
173,19204,Green Hills Aviation Ltd.
174,19205,Green Mountain Airlines Ltd.
175,19206,Copper State Airlines
176,19207,Isle Royale Seaplane Serv.
177,19208,Golden South Airlines Inc.
178,19209,Gull Air Inc.
179,19210,Gunnel Aviation Inc.
180,19211,Ross Aviation Inc.
181,19212,Heussler Air Service Corp
182,19213,Hensley Flying Service Inc.
183,19214,Long Island Airlines
184,19215,Holiday Airlines Inc.
185,19216,Iowa Airlines
186,19217,Pacific Coast Airlines
187,19218,Trans-National Airlines Haw
188,19219,Scenic Airlines Inc.
189,19220,Skystream Airlines
190,19221,Hawking Corporation
191,19222,Hyannis Aviation
192,19223,Iowa City Flying Service
193,19224,Idee Industries Inc.
194,19225,Inland Empire Airlines Inc.
195,19226,Indiana Airways Inc. (Pa)
196,19227,Indo-Pacific International
197,19228,Island Airlines
