Country,Count
Uruguay,1
Germany,4
Dhaka (Bangladesh),1
Yemen,1
Maiduguri (Nigeria),1
Europe,5
Nice (France),2
Ankara (Turkey),1
Jakarta (Indonesia),1
Pathankot (India),1
Red Sea,2
Tel Aviv (Israel),1
Kansas,1
Sicily (Italy),1
British Columbia (Canada),1
Canada,1
St Cloud (Minn),1
Western Europe,1
Japan,1
Baghdad (Iraq),2
Austin (Tex),1
Denver (Colo),1
Israel,3
Cairo (Egypt),1
Venezuela,1
Jordan,4
Ouagadougou (Burkina Faso),1
Belgium,3
USSR (Former Soviet Union),1
Iraq,4
Bamako (Mali),1
Oberhausen (Germany),1
India,1
Gibraltar,1
Saudi Arabia,4
Ivory Coast,2
Orlando (Fla),3
Iowa,1
Black Sea,1
"11th Arrondissement (Paris, France)",1
New York City,1
Aleppo (Syria),1
Portland (Ore),1
Pakistan,6
Jalalabad (Afghanistan),1
Italy,2
Istanbul (Turkey),5
Elizabeth (NJ),1
Paris (France),4
Iran,4
Somalia,4
Lebanon,1
Australia,1
Middle East,1
Libya,2
Medina (Saudi Arabia),1
Chechnya (Russia),1
Persian Gulf,1
Mosul (Iraq),1
Bangladesh,3
Lahore (Pakistan),1
Afghanistan,4
New Hampshire,1
Russia,4
Turkey,4
Brussels (Belgium),3
Nigeria,1
Berlin (Germany),4
Mogadishu (Somalia),2
Egypt,4
Burkina Faso,2
Stockholm (Sweden),1
France,5
Nangarhar Province (Afghanistan),1
Mali,1
Balkan States,1
Fort Riley (Kan),1
Caucasus (Russia),1
Bahama Islands,1
Sweden,1
Aden (Yemen),1
Texas,1
Bursa (Turkey),1
United States,1
Kabul (Afghanistan),2
Mohmand (Pakistan),1
Guantanamo Bay Naval Base (Cuba),2
Syria,9
Spain,1
